year,month,precipitation
2000,1,71
2000,2,104
2000,3,98
2000,4,219
2000,5,219
2000,6,470
2000,7,356
2000,8,203
2000,9,185
2000,10,3
2000,11,6
2000,12,21
2001,1,35
2001,2,20
2001,3,75
2001,4,255
2001,5,21
2001,6,214
2001,7,116
2001,8,94
2001,9,48
2001,10,5
2001,11,25
2001,12,59
2002,1,118
2002,2,32
2002,3,318
2002,4,92
2002,5,95
2002,6,258
2002,7,163
2002,8,201
2002,9,1
2002,10,26
2002,11,66
2002,12,12
2003,1,68
2003,2,147
2003,3,271
2003,4,145
2003,5,168
2003,6,137
2003,7,109
2003,8,42
2003,9,21
2003,10,16
2003,11,11
2003,12,32
2004,1,302
2004,2,208
2004,3,187
2004,4,122
2004,5,108
2004,6,449
2004,7,280
2004,8,44
2004,9,40
2004,10,8
2004,11,16
2004,12,2
2005,1,2
2005,2,36
2005,3,170
2005,4,94
2005,5,314
2005,6,570
2005,7,109
2005,8,93
2005,9,29
2005,10,103
2005,11,0
2005,12,8
2006,1,9
2006,2,16
2006,3,168
2006,4,222
2006,5,97
2006,6,136
2006,7,70
2006,8,66
2006,9,51
2006,10,37
2006,11,79
2006,12,41
2007,1,131
2007,2,82
2007,3,142
2007,4,215
2007,5,104
2007,6,412
2007,7,143
2007,8,76
2007,9,41
2007,10,11
2007,11,42
2007,12,13
2008,1,63
2008,2,33
2008,3,96
2008,4,394
2008,5,90
2008,6,128
2008,7,131
2008,8,91
2008,9,30
2008,10,30
2008,11,10
2008,12,1
2009,1,126
2009,2,166
2009,3,184
2009,4,303
2009,5,288
2009,6,347
2009,7,224
2009,8,192
2009,9,58
2009,10,0
2009,11,10
2009,12,4
2010,1,62
2010,2,61
2010,3,49
2010,4,144
2010,5,131
2010,6,97
2010,7,99
2010,8,51
2010,9,31
2010,10,3
2010,11,0
2010,12,39
2011,1,337
2011,2,202
2011,3,123
2011,4,236
2011,5,293
2011,6,273
2011,7,260
2011,8,80
2011,9,14
2011,10,11
2011,11,25
2011,12,11
2012,1,46
2012,2,109
2012,3,97
2012,4,43
2012,5,57
2012,6,255
2012,7,172
2012,8,42
2012,9,18
2012,10,7
2012,11,0
2012,12,0
2013,1,8
2013,2,54
2013,3,29
2013,4,135
2013,5,221
2013,6,279
2013,7,361
2013,8,138
2013,9,155
2013,10,3
2013,11,44
2013,12,10
2014,1,71
2014,2,28
2014,3,228
2014,4,67
2014,5,129
2014,6,435
2014,7,175
2014,8,40
2014,9,73
2014,10,24
2014,11,21
2014,12,18
2015,1,29
2015,2,54
2015,3,268
2015,4,112
2015,5,46
2015,6,158
2015,7,167
2015,8,24
2015,9,11
2015,10,11
2015,11,0
2015,12,49
2016,1,137
2016,2,59
2016,3,111
2016,4,168
2016,5,150
2016,6,140
2016,7,37
2016,8,57
2016,9,41
2016,10,14
2016,11,9
2016,12,41
2017,1,46
2017,2,74
2017,3,145
2017,4,176
2017,5,179
2017,6,145
2017,7,280
2017,8,25
2017,9,46
2017,10,54
2017,11,9
2017,12,39
2018,1,58
2018,2,381
2018,3,181
2018,4,151
2018,5,68
2018,6,118
2018,7,200
2018,8,26
2018,9,40
2018,10,0
2018,11,2
2018,12,34
